lexicon,explanation
process," in law a process is a summons or writ which is used to order someone to appear in court; the whole of a case from beginning to end; or the total number of summonses or writs issued during a case.,"
procurator," a person who has been given authority to manage another person's affairs, such as under a power of attorney.,"
procurator fiscal," under Scottish law, a person who acts as public prosecutor and coroner.,"
product liability," the liability of manufacturers and sellers to compensate people for unsafe goods which have caused injury to people or property.,"
promisee," a person who has been promised something.,"
promisor," a person who has promised something.,"
promissory note," a written promise to pay an amount of money to someone at a given time.,"
property," the name for anything which can be owned.,"
prosecution," the name for the team of people (lawyers and so on) bringing proceedings against someone else. Also when legal proceedings are taken against someone it is called a prosecution.,"
prosecutor," the person who brings legal proceedings, on behalf of the Crown, against the accused.,"
prospectus," a formal document giving details of a company's past performance and of its plans for the future. If a public company wants people to invest in it, it prepares a prospectus.,"
prostitution," selling sexual services for money.,"
protected tenancy," a tenancy agreement for a house. It gives the tenant the right to a fair rent and protection from eviction as long as the terms and conditions of the tenancy agreement are kept to.,"
proviso," a clause in a legal document which qualifies another section of the agreement.,"
provocation," causing someone to lose their self-control by doing or saying something (such as threatening to harm a baby) which would cause a reasonable person to temporarily lose their self-control.,"
proxy," a person appointed by a shareholder to go to a meeting of shareholders. The proxy can vote at the meeting for the shareholder.,"
proxy form," a form for shareholders by which, if it is delivered to a company at least 48 hours before the shareholders' meeting the person who is the proxy will be able to vote at that meeting.,"
public mischief," something that someone does which damages the general community.,"
public nuisance," a crime by which the general public is put in danger or suffers damage to its health, property and so on.,"
putative father," the man found by a court to be the father of an illegitimate child.,"
qualifying child," when used in connection with Child Support this means a natural child or adopted child who is under 16, or under 19 if receiving full-time education.,"
quango," an organisation set up by the Government to do a particular activity. It is partly independent and does not form part of the Government.,"
quarter days," in England the days when payments which are made every quarter should be paid. The quarter days are the days that the seasons are said to start. The actual dates and their names are 25 March - Lady Days; 24 June - Midsummer Day; 29 September - Michaelmas Day; and 25 December - Christmas Day.,"
queen's bench division," part of the High Court. Its main function is to deal with civil cases.,"
queen's counsel," a barrister who has been chosen by the Lord Chancellor to serve as counsel to the Crown. A Queen's Counsel is more senior than other barristers.,"
queen's evidence," evidence for the prosecution given by someone who is also accused of the crime being tried.,"
quiet enjoyment," allowing a tenant to use land without interference. When a tenancy is created the landlord is expected to allow the tenant to use the land without any interference, unless the tenancy agreement allows it.,"
quiet possession," using property without interference. When property is sold the buyer should be able to use the property free from interference by the seller.,"
quorum," the lowest number of qualifying people needed for a meeting to be able to make a decision.,"
racial discrimination," treating someone less favourably because of their race, colour, nationality or culture.,"
rack rent," the full market value rent of a property.,"
rape," having sex with a person without their permission (such as if they were asleep or unconscious) or forcing them to have sex against their will.,"
real," relating to immovable property such as buildings or land.,"
real estate," land owned by someone who has died. In the USA it is also land and buildings used for business purposes.,"
real property," land and buildings. minerals in the land and rights over the land.,"
realty," another word for real property.,"
reasonable force," necessary force. Reasonable force is a complex issue but essentially use of some force must be necessary to defend your property or yourself and the force used must be in proportion to the threat.,"
receiver," someone appointed to sell assets to raise money to repay lenders; or protect property.,"
receiving," gaining control of stolen property.,"
recognisance," an undertaking, given by someone to a court, to make sure that they do what the court requires. If they do not do as the court wishes they may have to pay a sum of money.,"
record," the documents in a court case from beginning to end.,"
recorder," a part-time High Court judge.,"
recovery," regaining possession of land by taking court proceedings.,"
redemption," paying off all the money borrowed under an agreement.,"
redundancy," being dismissed from a job because it no longer exists.,"
registered land," any land recorded at the Land Registry. There is a system of recording and registering, at the Land Registry offices, details of land ownership and interests in land.,"
registered office," the official address where documents can be served on a company.,"
registrar of companies," an official in charge of the office which keeps records of registered companies. There is a registrar for Scotland and another one for England and Wales.,"
reinsurance," an insurance company insuring part of a risk it is covering. If an insurance company has taken on a large insurance contract it may decide to spread the risk of loss by insuring part of the risk with another insurance company.,"
release," means to give up a valid claim against someone; to free someone from prison; or a document used to cancel a claim one person has against another.,"
remainder," an interest which starts when a previous interest finishes. When more than one person has been left an interest in land the first person to possess an interest will have to die before the next person can possess an interest in the land, and so on.,"
remand," being kept in prison or paying bail. If an accused person is placed on remand they are either kept in prison for a short period or have to pay bail or get someone to pay it for them. It is used for short periods before a trial starts.,"
remedy," using the law to get compensation for damage done or for rights infringed. Also, a remedy can be using the law to prevent something from happening.,"
renouncing probate," a proposed executor refusing to act. Sometimes when a testator dies an executor will not wish to accept appointment. The executor has to tell the Probate Registry about it in writing.,"
rent," a regular payment to the landlord by a tenant in return for being allowed to possess and use the landlord's property.,"
repeat offender," a person who continues to commit the same offence.,"
reply," a claimant ('plaintiff' before)'s answer to a claim. In a civil case the defendant may offer a defence to the claim, or even make a counterclaim.,"
repossess," a mortgagee recovering vacant possession of the property mortgaged.,"
repossession," a mortgagee recovering vacant possession of the property mortgaged.,"
representation," is acting on behalf of someone else (such as a solicitor acting for a client); taking someone else's place (such as when a court gives an executor the right to deal with a dead person's affairs); or a statement in a contract.,"
representative action," one or more people, in a group of people with the same grievance, taking legal action representing the group.,"
reprieve," a judge suspending or cancelling punishment for an offence.,"
res ipsa loquitur," proof is not needed because the facts speak for themselves. If the defendant was in charge of events and an accident was caused on the face of it by negligence, then it may be presumed that the defendant was negligent unless there is evidence to the contrary (This term is Latin).,"
rescission," the cancellation of a contract.,"
reservation of title," a contract which leaves ownership of the goods with the seller until the goods have been paid for.,"
reserves," money set aside in accounts which can be spent in later years. Some types of reserve can only be spent if certain conditions are met.,"
residence order," an order which a court issues when it has decided where a child should live, setting out details of the court's decision.,"
residuary legacy," what remains to be given out from an estate after all debts, taxes and specific legacies have been paid.,"
residue," what is left of an estate after all debts, taxes, expenses and specific legacies have been dealt with.,"
resisting arrest," a person trying to prevent the police arresting him or her. A charge could be made of obstructing a police officer in the course of duty.,"
resolution," a decision taken by the members of a company in a meeting.,"
respondent," the person an action is being taken against.,"
restitution," is an order for the return of stolen goods to the victim of the theft or for compensation to be paid to the victim; or a writ, following a successful appeal, for the return of the items lost after the original case.,"
restraining order," an order which a court may issue to prevent a person from doing a particular thing. For example, if someone has been harassing another person, the court may order that the harassment must stop.,"
restriction," when placed on a piece of land the owner cannot sell or mortgage the land.,"
restriction order," this order by the Crown Court prevents a person being discharged from hospital, to protect the public.,"
restrictive covenant," a deed which restricts how a piece of land can be used.,"
retainer," a payment to a barrister to act in a case.,"
retention of title," another term for reservation of title.,"
return," an arrangement under which goods can be kept by the potential buyer for a period while their resale is attempted. Unsold goods can be returned if the conditions of the contract have been ket to and the buyer pays for the goods used.,"
reversion," cancellation,"
revocation," cancellation.,"
revoke," to cancel or withdraw.,"
revolving credit agreement," a loan agreement under which a person can borrow again to top up the loan, as long as they do not go over their credit limit.,"
right of way," a legal right obliging the owner of land to allow authorised people to cross it.,"
rights issue," an issue of extra shares by a company. Existing shareholders can buy extra new shares in proportion to the shares they already hold. The shares are usually on sale at a lower price than the stock market price to encourage shareholders to buy. The shareholders can sell the rights if they do not with to use them.,"
riot," a gathering of 12 or more people using, or threatening to use, violence to achieve a common end.,"
robbery," using or threatening to use force while carrying out a theft.,"
sale," an arrangement under which goods can be kept by the potential buyer for a period while their resale is attempted. Unsold goods can be returned if the conditions of the contract have been kept to and the buyer pays for the goods used.,"
salvage," compensation paid by the owners for saving ships, aircraft and property from the sea.,"
satisfaction," is paying a debt; settling an obligation by an act; or settling an obligation by substituting something satisfactory for what was originally required.,"
scheme of arrangement," an agreement between a person with debts, who cannot pay them when they are due and the creditors. The creditors share the money the debtor manages to pay in proportion to what they are each owed.,"
scrip," a certificate showing the extra shares and fractions of shares the owner is entitled to.,"
scrip dividend," a dividend paid in shares instead of cash.,"
scrip issue," free shares offered to the members of a company in proportion to their shareholdings.,"
search," inspection of the registers maintained by organisations such as the Land Registry. When a person intends to buy a property such as a house, a solicitor arranges the inspection. This is to find out if there is any adverse information about the property or the surrounding area.,"
search warrant," a warrant issued by a magistrate, or High Court judge, to allow police officers to search premises.,"
securities," stocks, shares, debentures and so on where there is a right to receive interest or dividends from the investment.,"
security," something of value pledged to a bank by a borrower. If the borrower fails to repay the debt, the bank can sell the security and repay the debt out of the proceeds of the sale.,"
security of tenure," protection from a landlord attempting to obtain possession of the property the tenant is renting.,"
sedition," writing things or saying things which encourage ordinary people to rise up against the Government or which cause discontent.,"
sentence," the penalty the court imposes on someone found guilty of an offence.,"
separation order," a court order that a husband and wife can live separately if they wish.,"
sequestration," a court order for the seizure of someone's property.,"
settle," means to create a settlement; to end a case by agreement; or to draw up a contract and agree its terms.,"
settlement," when property is bestowed, usually by a will or a deed, on a trust for the benefit of people decided by the settlor. It also means voluntarily agreeing to settle a civil case.,"
settlor," the person who gives property to a settlement.,"
several," separate (not joint).,"
shadow director," a person who has not been appointed a director of a company but nevertheless gives instructions to the directors, which they comply with.,"
share capital," the money invested directly in a company by its members. When the shares are first made available by the company, people can apply to buy them. The company states the price it wants for the shares.,"
share certificate," a document which certifies who owns shares in a company. It gives the type and number of shares owned by the shareholder and lists the serial numbers of the shares.,"
share premium account," an account in a set of books recording the extra amount over face value that shares have been issued for. If shares are issued for more than their face value, the extra amount over face value is called a share premium.,"
sheriff," someone appointed each year by the Crown to be a county's senior officer. Each county in the UK has a sheriff. To be eligible for the office the person must own some land in the county. The areas of the law which come within the sheriff's jurisdiction are largely dealt with by the under-sheriff.,"
shoplifting," stealing goods from a shop.,"
shorthold tenancy," a tenancy under which the law allows the landlord to repossess the house.,"
sine die," indefinitely If a case has been adjourned sine die no date has been set for it to be continued (This term is Latin).,"
slander," saying something untrue about a person or doing something, such as making a gesture, which damages their reputation.,"
small claims court," a section of the county court which deals with small claims. There is a simplified way of making a claim in the county court in a civil case where the claim is no more than certain amount. Neither side can claim costs.,"
smuggling," importing or exporting goods illegally to avoid a ban on them or to avoid the duties on them.,"
sold note," a note that shows details of investments which have been sold, including the sale price and any charges taken. Stockbrokers produce sold notes for their clients.,"
soliciting," a prostitute attempting to get clients in a street or other public place.,"
solicitor," a person who can deal with legal matters for the public and give advice on legal matters. All solicitors are listed on the roll of solicitors kept by the Law Society. Some solicitors can appear for their clients in some of the lower courts.,"
solicitor general," the assistant of the Attorney General. They both advise the Government.,"
special resolution," a resolution which must be approved by holders of at least 75% of the shares with voting rights (Some types of share give their owners the right to vote at shareholder meetings, but there are other types which do not).,"
specific performance," a court order to complete a contract. The courts may order a person who has failed to fulfil an obligation under a contract to complete it.,"
spent conviction," a conviction which, after the passage of a stated time period, does not have to be disclosed (revealed) to a court.,"
squatter," a person who occupies land illegally.,"
stalking," the name given to a form of harassment where a person is made to feel alarmed or distressed by another person's actions. The prosecution has to prove that a reasonable person would have known that the behaviour would create distress or fear. The harassment must have happened on at least two occasions.,"
stamp duty," a tax on the transfer documents for certain types of transaction. Examples are buying shares, patent rights and properties.,"
statement of claim," the claimant's written statement setting out the claim in a civil case (This term has not been used since).,"
status," how the law regards a person, such as whether the person is a minor or a bankrupt and so on.,"
statute," an Act of Parliament.,"
statute book," all the existing statutes in a country.,"
statute law," the law created by Acts of Parliament.,"
statute of limitation," a statute which sets out the time limits within which a court action must take place.,"
statutory accounts," company accounts which have been filed with the Registrar of Companies. The accounts have to disclose (show) the information required by the Companies Acts.,"
statutory audit," an audit required by law. Certain companies have to have their accounts audited by suitably qualified accountants.,"
statutory books," books of account which companies must keep by law to show and explain all their transactions.,"
statutory demand," a written demand for payment of a debt.,"
statutory instrument," a power delegated by Parliament. Parliament can delegate its power to make and amend law to a person or organisation. A statutory instrument is one of these powers and is used by government ministers to amend legislation.,"
stay of execution," the suspension of the carrying out of a court order.,"
stipendiary magistrate," a magistrate who gets a salary.,"
stockbroker," a person who buys and sells stocks and shares for clients.,"
sub judice," describes something being dealt with by a court which cannot be discussed outside the court (This term is Latin).,"
subduct," to withdraw.,"
subject to contract," an agreement which is not binding until a contract has been signed.,"
subpoena," a writ requiring the person it is addressed to to attend at a specific place (such as a court) on a specific date and at a stated time.,"
subrogation," substituting one person for another including all rights and responsibilities.,"
subscribers," the people who set up a limited company.,"
subsidiarity," subsidiary activities. Member countries of the European Community agreed that activities could be done by the individual member countries unless they could not do them adequately alone. The European Community therefore should only do subsidiary activities and this is called subsidiarity.,"
subsidiary," a company controlled by another company. The control is normally a result of having more than 50% of the voting rights.,"
sue," to start legal proceedings in the civil court against someone.,"
sui generis," describes something that belongs in a particular category or is the only one of its class (This term is Latin).,"
sui juris," describes someone who can enter into a contract without any restriction (This term is Latin).,"
suicide," the act of killing oneself intentionally.,"
suit," proceedings brought by one person against another in a civil court.,"
summary judgement," obtaining judgement without a trial. In an action in the High Court to recover damages or a debt if the claimant ('plaintiff' before) swears an affidavit that it is believed that there is no defence to the claim, the claimant ('plaintiff' before) can obtain summary judgement.,"
summary offence," an offence that can only be tried by magistrates. Most minor offences are summary offences.,"
summary proceeding," a trial by magistrates, where the defendant has the right to choose which court should hear the case but has agreed to be tried in the magistrates' court.,"
summary proceedings," a trial by magistrates, where the defendant has the right to choose which court should hear the case but has agreed to be tried in the magistrates' court.,"
summary trial," a trial by magistrates.,"
summing up," the judge's summary of a case. At the end of a trial by jury the judge explains points of law in the case to the jury, explains the jury's role and summarises the evidence.,"
summons," an order by a court that a person attend at a particular court at a stated time on a particular date.,"
superior courts," the higher courts in English law, which include the High Court, the Court of Appeal, the Crown Court and the House of Lords. Their decisions act as precedents for the lower courts to follow.,"
supervision order," a court order that a child should be supervised by a probation officer or a local authority.,"
supra," above (see above or before in the document). (This word is Latin).,"
supreme court," the highest court below the House of Lords. The full name is the Supreme Court of Judicature.,"
surcharge," a penalty charged if tax is paid late. It is also an extra charge banks make if customers do not keep to the agreements they made with the bank.,"
surety," someone who takes responsibility for someone else's debts or promises, and guarantees that they will be paid or undertaken (done). It is also the name for the money put up as security that someone will appear in court. If they do not appear in court the money will be forfeited.,"
suspended sentence," a sentence that is postponed until the offender is convicted of another offence.,"
swift payment," a payment from one bank account to another using the SWIFT system. SWIFT stands for Society for Worldwide Interbank Financial Telecommunications and it is an international system for paying by credit transfer.,"
tangible asset," an asset which can be physically touched.,"
tangible property," property that physically exists.,"
taurus," a computer system intended to replace paper stock transfer forms and share certificates.,"
tax," money raised by the Government to pay for the services it provides. Some taxes are called indirect because they are part of the price we pay for goods and services, such as VAT. Other tax is called direct because the individual taxpayer pays it. Income tax and corporation tax are examples of direct taxes.,"
tax avoidance," reducing tax bills by using legal means.,"
tax evasion," breaking the law to reduce tax bills, such as by concealing income.,"
tax point," the date when value added tax arises on goods or services supplied (or made available) to a customer. The tax point should be displayed on invoices. It is not necessarily the same as the date of the invoice.,"
taxable supply," a term for supplying goods and services on which value added tax can be charged. This applies even if the tax rate is 0% at present, because it can be increased if the Government chooses to.,"
taxation," the levying of taxes.,"
taxation of costs," the scrutiny of and, if necessary, the lowering of a solicitor's bill to a client. The scrutiny is done by a court officer.,"
teeming and lading," a term used to describe attempts to hide the loss of cash received from one customer by using cash from other customers to replace it. This fraud can carry on by using cash from other customers in the same way.,"
tenant," a person or organisation granted a lease.,"
tender," supplying a price for a job. If an organisation asks firms to send in tenders for supplying something, they are asking for firm written offers to do the work to an agreed standard and at a stated price.,"
tenure," how a piece of land is held by the owner (for instance freehold or leasehold).,"
term," any of the clauses which form part of a contract.,"
terra," land (This word is Latin).,"
terrorism," using violence for political purposes.,"
testament," a will dealing with personal property.,"
testamentum," another name for a will.,"
testator," a person who makes a will.,"
testify," to give evidence.,"
testimony," the evidence a witness gives in court.,"
theft," taking someone else's property dishonestly, with the intention of never returning it.,"
threatening behaviour," using threats, abuse or insults against another person.,"
timeshare," an arrangement where people can buy a share in part of a property for a period of time in each year. They can use their part of the accommodation each year for the period that is theirs.,"
title," the right to own something.,"
title deeds," the documents which prove who owns a property and under what terms.,"
toll," a payment in return for being allowed to travel over a road, bridge and so on.,"
tort," doing something which harms someone else. It may result in a claim for damages (This word is Old French).,"
tortfeasor," someone who commits a tort.,"
trademark," a mark which is registered at trademark registries and which is used on products produced by the owner. It is illegal for anyone else to display the mark.,"
transcript," the official record of a court case.,"
transferable securities," securities, such as debentures, which can have their ownership changed.,"
transferee," the person something is transferred to.,"
transferor," the person who transfers something to someone else.,"
treason," the crime of betraying your country such as helping your country's enemies in wartime.,"
treasure trove," treasure found in a hiding place and whose owner cannot be traced. It belongs to the Crown but the finder and the landowner may get a reward.,"
treasury," the government department which administers (manages) the country's finances.,"
treasury bill," an unconditional promise by the Treasury to repay money it has borrowed for the short term (up to one year), to pay for government spending.,"
treasury solicitor," the person who gives legal advice to the Treasury.,"
trespassing," going on land without the owner's permission.,"
trial," an examination of the evidence in a case and the law which applies.,"
tribunal," is a body set up to act like a court, but outside the normal court system; a forum to hear disputes and with the authority to settle them; a body given power by statute to discipline members of a profession who do not keep to the high standards of behaviour demanded of members of the profession; or a body set up by the members of an association to police the members' actions.,"
trust," a financial arrangement under which property is held by named people for someone else.,"
trust corporation," a company which acts as a trustee and holds a trust's assets.,"
trust deed," a legal document which is used to create a trust; change a trust; or control a trust.,"
trustee," a person who holds property and looks after it on behalf of someone else.,"
trustee in bankruptcy," a person who administers (manages) a bankrupt person's estate and pays any available money to the creditors.,"
uberrimae fidei," of the utmost good faith. In certain contracts (such as insurance policies) one party must disclose (reveal) any material facts to the other party. If they are not disclosed the contract can be cancelled or become unenforceable (This term is Latin).,"
ultra vires," beyond one's powers. If an organisation does something ultra vires, what it has done is invalid.,"
underlease," the lease of a property by a tenant of the property to someone else.,"
undertaking," a promise which can be enforced by law such as a promise made by one of the parties or by their counsel during legal proceedings.,"
unfair contract terms," prevents a party to a contract unfairly limiting their liability. The Unfair Contract Terms Act was passed to control unfair exclusion clauses. In particular, in a case where someone had been killed or injured because of someone else's negligence the act prevented a contract limiting the negligent person's liability.,"
unfair dismissal," sacking an employee unfairly. When an employee has been dismissed it is the employer's responsibility to prove that the dismissal was fair. If an industrial tribunal finds that the dismissal was unfair it can insist on compensation or reinstatement.,"
unit trust," a trust which manages investments. People can invest in unit trusts by buying units. The managers of the trust use the money people invest to buy investments. The fund managers values the fund's assets from time to time and puts a new price on the fund's units.,"
unlawful wounding," wounding someone without the justification of self defence or without power given by the law.,"
unliquidated damages," the amount of damages decided by a court because the parties to a contract had not agreed in advance how much the damages would be for breaking the terms of the contract.,"
unreasonable behaviour," behaviour by a married person that justifies the other partner in the marriage living apart.,"
unregistered company," a company which is not registered under the Companies Acts.,"
unregistered land," land which is not recorded in the registers at Land Registry.,"
unsecured creditor," someone who has lent money without getting any security for the loan.,"
uterine," describes people who have the same mother but different fathers.,"
vendee," a person who buys something.,"
vendor," a person who sells something.,"
verdict," the jury's decision at the end of a case.,"
vesting order," a way the High Court transfers land without the need for a conveyance.,"
vexatious litigant," a person who regularly brings court cases which have little chance of succeeding.,"
vicarious liability," a situation where someone becomes responsible under the law for wrongs done by someone else. This often happens when an employee does something wrong while at work which becomes the employer's responsibility (such as an employee working negligently and causing someone else to be hurt because of the negligence).,"
violent disorder," three or more people in a gathering using or threatening to use unlawful violence.,"
void," unable to be enforced by the law.,"
voidable," able to be cancelled in certain circumstances.,"
voluntary arrangement," an agreement between a debtor and the creditors. If a person or a company cannot pay their debts when they are due they can come to a voluntary arrangement with the creditors to pay the debts over a period. If the creditors agree with the proposals it avoids bankruptcy of the individual or liquidation of the company.,"
ward of court," a person who is protected by the High Court, such as a minor.,"
warrant," is a certificate which gives the person holding it the right to buy shares at a given price; a magistrate's written instruction to arrest someone; or a magistrate's written instruction to search a property.,"
warranty," a term in a contract. If the term is not complied with damages can be claimed by the injured party.,"
wayleave," a right of way through or over a piece of land often for a particular purpose, such as for a pipeline to go through a piece of land or for goods to be carried over it.,"
will," a legal document which people use to bequeath (leave as a gift) money and property when they die.,"
winding up," disposing of all a company's assets and paying all its debts. Any money left is then divided among the members.,"
without prejudice," when written on a document, the document cannot be used as evidence that a contract or agreement exists.,"
witness," someone who watches a signature being put on a document, and then signs as well to verify the signature's authenticity; or attends court to testify about events they know about; to witness a document is to watch it being signed and then add your own signature and name, address and occupation.,"
words of art," words which have a fixed meaning in law so that their use in a legal document can have only one interpretation.,"
writ," an order issued by a court telling someone to do something or not to do something (This has been known as a 'claim form' since).,"
writ of execution," a type of writ ('claim form' since) used when a court judgement needs enforcing.,"
writ of summons," a type of writ ('claim form' since) used to start a civil case in the Hight Court (This has been known as a 'claim form' since).,"
wrongful dismissal," ending an employee's contract without following the contract's terms.,"
wrongful trading," continuing to trade while knowing that there is little prospect of the company being able to pay its debts.,"
young offender, a person between the ages of 14 and 17 who has committed a crime.
